"start_on","created_at","difference","no_calls"
"6/1/2023","25/10/2022 20:21:46.741187","72","1"
"27/10/2022","25/10/2022 19:36:35.715059","1","1"
"26/10/2022","26/10/2022 22:09:38.012614","0","1"
"27/10/2022","25/10/2022 16:58:17.098634","1","1"
"25/10/2022","25/10/2022 17:20:38.470163","0","1"
"25/10/2022","25/10/2022 15:27:26.857475","0","1"
"25/10/2022","25/10/2022 19:41:41.978536","0","1"
"26/10/2022","26/10/2022 20:50:21.254475","0","1"
"25/11/2022","25/10/2022 14:32:45.018658","30","1"
"26/10/2022","26/10/2022 23:43:04.566644","0","1"
"26/10/2022","26/10/2022 19:35:25.756712","0","1"
"25/10/2022","25/10/2022 15:22:32.479969","0","1"
"3/11/2022","25/10/2022 17:55:49.37101","8","1"
"25/10/2022","25/10/2022 16:30:11.57685","0","1"
"25/10/2022","25/10/2022 18:57:35.416662","0","1"
"25/10/2022","25/10/2022 19:00:25.876488","0","1"
"25/10/2022","25/10/2022 18:48:36.796263","0","1"
"11/11/2022","26/10/2022 19:16:24.426793","15","1"
"26/10/2022","26/10/2022 14:21:55.342463","0","1"
"25/11/2022","26/10/2022 18:12:40.555826","29","1"
"25/10/2022","25/10/2022 17:47:44.321478","0","1"
"25/10/2022","25/10/2022 22:29:02.412666","0","1"
"30/11/2022","25/10/2022 21:43:30.838024","35","1"
"26/10/2022","26/10/2022 19:31:41.723541","0","1"
"26/10/2022","26/10/2022 19:13:49.771223","0","1"
"26/10/2022","26/10/2022 13:10:28.038329","0","1"
"11/11/2022","25/10/2022 13:55:04.235678","16","1"
"26/10/2022","26/10/2022 14:12:48.814215","0","1"
"26/10/2022","26/10/2022 15:49:31.219311","0","1"
"25/10/2022","25/10/2022 20:32:47.27225","0","1"
"26/10/2022","26/10/2022 23:58:59.691685","0","1"
"26/10/2022","26/10/2022 17:25:19.981868","0","1"
"26/10/2022","26/10/2022 16:55:35.545072","0","1"
"1/11/2022","26/10/2022 20:37:58.920774","5","1"
"1/11/2022","26/10/2022 15:11:02.799316","5","1"
"26/10/2022","26/10/2022 21:02:17.461814","0","1"
"26/10/2022","26/10/2022 23:20:55.258454","0","1"
"7/11/2022","25/10/2022 17:11:38.611127","12","1"
"4/11/2022","25/10/2022 16:50:49.185367","9","1"
"25/10/2022","25/10/2022 23:12:30.562277","0","1"
"25/10/2022","25/10/2022 16:37:57.169971","0","1"
"25/10/2022","25/10/2022 16:38:04.328917","0","1"
"26/10/2022","26/10/2022 18:07:03.573163","0","1"
"11/11/2022","25/10/2022 13:59:17.448988","16","1"
"24/11/2022","26/10/2022 18:01:42.456365","28","1"
